"X2";"X6";"X7";"X11";"X13"
"1";1.7;0.6;8.1;2.7;11.4
"2";3.2;0.98;10.5;2.1;13.8
"3";8.5;20;11.1;6.2;95.4
"4";7.9;20;9.4;3.7;81.7
"5";8.5;20;11.3;5.8;100.3
"6";5.8;12.2;7;3.1;40.5
"7";5.7;8.8;4.2;2.9;55.3
"8";7.1;20;11.2;5;77.5
"9";7.9;20;11.3;5.6;92.3
"10";8;20;11.1;5.5;92.7
"11";4.6;4.2;3.9;1.4;33.2
"12";4.9;4.7;7.3;3.4;33
"13";5.1;5.4;9.6;4.3;38.4
"14";4.8;5.3;8.3;3.3;35.5
"15";5.7;6.5;10.1;3.9;54.5
"16";4.2;1.9;8;2.4;33.4
"17";6.1;12.2;9.6;3.1;55.3
"18";7.6;20;11.1;4.9;78.7
"19";5.8;12.2;10.1;5.1;47.4
"20";6.2;10.3;8.9;3.3;63.1
"21";6.6;15.2;10.7;4.9;67.6
"22";6.7;13.5;9.4;3.5;68.8
"23";6.5;8.4;10.2;3.4;71.4
"24";0.09;0;0.13;0.05;1.04
"25";0.08;0.03;0.19;0.1;1.16
"26";0.39;0.01;0.51;0.17;1.07
"27";0.08;0;0.26;0.03;0.53
"28";0.07;0;0.1;0.03;0.96
"29";0.06;0;0.27;0.02;1.35
"30";0.27;0.01;0.24;0.15;1.35
"31";0.1;0;0.45;0.09;1.23
"32";0.11;0;0.41;0.04;1
"33";0.11;0;0.2;0.08;1.36
"34";0.09;0;0.91;0.18;1.36
"35";0.07;0;0.25;0.05;1.04
"36";0.07;0;0.54;0.2;1.23
"37";0.12;0;0.2;0.06;2.01
